time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,temperature_2m,relative_humidity_2m,wind_speed_10m,surface_pressure,precipitation
2026-06-17 19:00:00,40.7,34.6,1302.0,33.2,7.6,104.0,152.0,,,,,
2026-06-17 20:00:00,40.9,35.6,1687.0,43.6,7.3,80.0,137.0,,,,,
2026-06-17 21:00:00,42.4,37.8,2005.0,48.0,7.0,66.0,115.0,,,,,
2026-06-17 22:00:00,41.8,37.4,2271.0,49.1,6.7,57.0,104.0,,,,,
2026-06-17 23:00:00,39.6,35.9,2360.0,48.1,6.2,50.0,104.0,,,,,
2026-06-18 00:00:00,36.8,33.5,2152.0,44.6,5.3,45.0,103.0,,,,,
2026-06-18 01:00:00,34.3,31.7,1767.0,39.2,4.2,43.0,103.0,,,,,
2026-06-18 02:00:00,32.7,30.5,1446.0,34.2,3.4,41.0,102.0,,,,,
2026-06-18 03:00:00,31.5,29.3,1281.0,30.7,2.8,36.0,101.0,,,,,
2026-06-18 04:00:00,30.0,27.9,1179.0,27.7,2.4,31.0,100.0,,,,,
2026-06-18 05:00:00,25.6,22.6,1108.0,19.5,3.7,55.0,99.0,,,,,
2026-06-18 06:00:00,25.2,22.4,1085.0,20.2,4.4,67.0,98.0,,,,,
2026-06-18 07:00:00,27.9,23.6,1093.0,21.0,5.5,83.0,97.0,,,,,
2026-06-18 08:00:00,35.0,25.8,1044.0,20.1,7.2,103.0,96.0,,,,,
2026-06-18 09:00:00,43.0,28.6,872.0,15.9,10.4,128.0,96.0,,,,,
2026-06-18 10:00:00,46.6,30.2,643.0,10.1,14.1,155.0,95.0,,,,,
2026-06-18 11:00:00,50.6,31.4,471.0,5.6,16.4,175.0,95.0,,,,,
2026-06-18 12:00:00,62.2,34.7,409.0,3.9,15.8,182.0,95.0,,,,,
2026-06-18 13:00:00,53.8,32.7,404.0,3.6,13.7,182.0,95.0,,,,,
2026-06-18 14:00:00,53.4,32.5,407.0,3.8,11.9,179.0,95.0,,,,,
2026-06-18 15:00:00,52.5,32.0,380.0,2.0,10.9,177.0,119.0,,,,,
2026-06-18 16:00:00,52.2,31.5,360.0,0.7,10.2,173.0,139.0,,,,,
2026-06-18 17:00:00,40.5,24.8,413.0,7.4,10.9,161.0,153.0,,,,,
2026-06-18 18:00:00,39.1,24.0,606.0,11.6,10.3,144.0,158.0,,,,,
2026-06-18 19:00:00,38.0,26.1,871.0,17.7,9.5,120.0,156.0,,,,,
2026-06-18 20:00:00,36.3,25.1,1066.0,24.1,9.0,98.0,147.0,,,,,
2026-06-18 21:00:00,36.7,27.1,1123.0,31.0,9.0,80.0,129.0,,,,,
2026-06-18 22:00:00,42.0,32.1,1111.0,38.2,9.2,65.0,107.0,,,,,
2026-06-18 23:00:00,42.5,34.0,1095.0,43.5,9.3,52.0,88.0,,,,,
2026-06-19 00:00:00,43.4,34.8,1107.0,45.9,9.0,43.0,88.0,,,,,
2026-06-19 01:00:00,43.9,36.1,1116.0,46.5,8.5,36.0,88.0,,,,,
2026-06-19 02:00:00,43.1,36.6,1094.0,46.0,8.0,31.0,88.0,,,,,
2026-06-19 03:00:00,41.9,36.3,1002.0,44.8,7.4,25.0,89.0,,,,,
2026-06-19 04:00:00,40.3,35.4,880.0,42.6,6.8,22.0,89.0,,,,,
2026-06-19 05:00:00,33.5,29.7,815.0,23.4,6.9,57.0,90.0,,,,,
2026-06-19 06:00:00,32.2,28.1,883.0,21.9,7.8,71.0,90.0,,,,,
2026-06-19 07:00:00,30.4,24.6,1009.0,19.7,9.1,92.0,91.0,,,,,
2026-06-19 08:00:00,32.7,22.6,1056.0,16.8,10.1,111.0,91.0,,,,,
2026-06-19 09:00:00,34.3,22.3,941.0,12.7,10.6,128.0,90.0,,,,,
2026-06-19 10:00:00,36.9,22.9,748.0,8.0,10.7,145.0,90.0,,,,,
2026-06-19 11:00:00,36.4,22.1,589.0,4.5,10.7,158.0,89.0,,,,,
